# StartTime = 06/29/2023 01:15:10.7229 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Status of the Remote A/C Power Supply Request/ OFF or ON, Fuel injection timing (deg), Enhanced Hybrid/EV Charging State, Engine Torque (lb•ft), Set Temperature (Driver Side) (°F), Solar Sensor (Driver Side), Solar Ventilation Switch, Fuel Input (gal), Vehicle Load (%), Calculate Load (%), Total Weight Information (lbs)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
1.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
1.969,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
2.904,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
3.855,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
4.807,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
5.76,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
6.715,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
7.658,21.6659,39.38365,0.0,0.904455,0.0,0.0,0.0,1.684179,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
8.608,22.62644,39.38371,1.153411,0.8660591,252.633,0.3767009,1622.5,1.723869,44.31372,2.432416,15.81455,92.94118,147,80.6,0.0,2,0.008443766,0.0001947676,43.35302,0.1363024,80.78,0,0,0,91.4,1219.5,124.25,104.0,69.01961,0,-1.740453,1.173642,31.81421,80.24,-0.07,27.097,13.574,0.0,16.0498,74.0,1,13.5,0,0,0,0,0,0,0,51.19248,92.3,42,0,10.4348,42.7451,81.17647,0
9.56,22.62644,39.38371,1.153411,0.8660591,252.633,0.3767009,1622.5,1.723869,44.31372,2.432416,15.81455,92.94118,147,80.6,0.0,2,0.008443766,0.0001947676,43.35302,0.1363024,80.78,0,0,0,91.4,1219.5,124.25,104.0,69.01961,0,-1.740453,1.173642,31.81421,80.24,-0.07,27.097,13.574,0.0,16.0498,74.0,1,13.5,0,0,0,0,0,0,0,51.19248,92.3,42,0,10.4348,42.7451,81.17647,0
10.51,22.62644,39.38371,1.153411,0.8660591,252.633,0.3767009,1622.5,1.723869,44.31372,2.432416,15.81455,92.94118,147,80.6,0.0,2,0.008443766,0.0001947676,43.35302,0.1363024,80.78,0,0,0,91.4,1219.5,124.25,104.0,69.01961,0,-1.740453,1.173642,31.81421,80.24,-0.07,27.097,13.574,0.0,16.0498,74.0,1,13.5,0,0,0,0,0,0,0,51.19248,92.3,42,0,10.4348,42.7451,81.17647,0
11.45,22.62644,39.38371,1.153411,0.8660591,252.633,0.3767009,1622.5,1.723869,44.31372,2.432416,15.81455,92.94118,147,80.6,0.0,2,0.008443766,0.0001947676,43.35302,0.1363024,80.78,0,0,0,91.4,1219.5,124.25,104.0,69.01961,0,-1.740453,1.173642,31.81421,80.24,-0.07,27.097,13.574,0.0,16.0498,74.0,1,13.5,0,0,0,0,0,0,0,51.19248,92.3,42,0,10.4348,42.7451,81.17647,0
