# StartTime = 07/01/2023 09:07:17.2457 AM
# FuelCalculationMethod = MassAirFlow
Time (sec), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Status of the Remote A/C Power Supply Request/ OFF or ON, Fuel injection timing (deg), Enhanced Hybrid/EV Charging State, Engine Torque (lb•ft), Set Temperature (Driver Side) (°F), Solar Sensor (Driver Side), Solar Ventilation Switch, Fuel Input (gal), Vehicle Load (%), Calculate Load (%), Total Weight Information (lbs)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
1.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
2.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0
3.801,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0
4.814,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0
5.806,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0
6.801,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0
7.812,0.0,39.7676,0.01932856,0.0,306.0277,0.006312655,0.0,0.027783,0.0,0.0,0.265016,0.0,867,73.4,0.0,1,0.0,1.996335e-05,0.0,0.1188938,73.85,0,0,0,80.15,1240.5,80.375,107.6,64.31373,0,0.0,0.0,7.953551,73.328,0.67,27.048,13.593,0.0,15.89966,40.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,41,0,7.264731,14.90196,61.56863,0
8.809,0.0,39.7676,0.01932856,0.0,306.0277,0.006312655,0.0,0.027783,0.0,0.0,0.265016,0.0,867,73.4,0.0,1,0.0,1.996335e-05,0.0,0.1188938,73.85,0,0,0,80.15,1240.5,80.375,107.6,64.31373,0,0.0,0.0,7.953551,73.328,0.67,27.048,13.593,0.0,15.89966,40.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,41,0,7.264731,14.90196,61.56863,0
9.808,0.0,39.7676,0.01932856,0.0,306.0277,0.006312655,0.0,0.027783,0.0,0.0,0.265016,0.0,867,73.4,0.0,1,0.0,1.996335e-05,0.0,0.1188938,73.85,0,0,0,80.15,1240.5,80.375,107.6,64.31373,0,0.0,0.0,7.953551,73.328,0.67,27.048,13.593,0.0,15.89966,40.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,41,0,7.264731,14.90196,61.56863,0
10.807,25.31641,39.76735,0.2945305,0.7740368,306.0331,0.09619284,1232.0,0.42336,14.90196,0.6208067,4.03834,42.7451,867,73.4,0.0,2,0.007040206,0.000298141,23.61368,0.1787715,73.85,0,0,0,80.15,1235.75,80.375,104.0,64.31373,0,-9.427453,1.608712,6.362841,73.328,-18.14,27.146,13.593,0.0,15.74951,41.0,1,13.5,0,0,0,0,0,0,0,17.21576,92.3,41,0,7.793075,14.90196,88.23529,0
11.81,25.31641,39.76735,0.2945305,0.7740368,306.0331,0.09619284,1232.0,0.42336,14.90196,0.6208067,4.03834,42.7451,867,73.4,0.0,2,0.007040206,0.000298141,23.61368,0.1787715,73.85,0,0,0,80.15,1235.75,80.375,104.0,64.31373,0,-9.427453,1.608712,6.362841,73.328,-18.14,27.146,13.593,0.0,15.74951,41.0,1,13.5,0,0,0,0,0,0,0,17.21576,92.3,41,0,7.793075,14.90196,88.23529,0
12.807,25.31641,39.76735,0.2945305,0.7740368,306.0331,0.09619284,1232.0,0.42336,14.90196,0.6208067,4.03834,42.7451,867,73.4,0.0,2,0.007040206,0.000298141,23.61368,0.1787715,73.85,0,0,0,80.15,1235.75,80.375,104.0,64.31373,0,-9.427453,1.608712,6.362841,73.328,-18.14,27.146,13.593,0.0,15.74951,41.0,1,13.5,0,0,0,0,0,0,0,17.21576,92.3,41,0,7.793075,14.90196,88.23529,0
13.817,25.31641,39.76735,0.2945305,0.7740368,306.0331,0.09619284,1232.0,0.42336,14.90196,0.6208067,4.03834,42.7451,867,73.4,0.0,2,0.007040206,0.000298141,23.61368,0.1787715,73.85,0,0,0,80.15,1235.75,80.375,104.0,64.31373,0,-9.427453,1.608712,6.362841,73.328,-18.14,27.146,13.593,0.0,15.74951,41.0,1,13.5,0,0,0,0,0,0,0,17.21576,92.3,41,0,7.793075,14.90196,88.23529,0
14.849,5.418919,39.76407,1.490671,3.616189,306.0623,0.4868491,1831.25,2.227932,55.29412,2.50878,20.43876,96.47059,867,73.4,33.91255,2,0.01505343,0.001787179,8.423011,0.2368291,73.85,0,0,0,80.15,2764.75,80.375,95.0,64.31373,0,-1.450377,1.736308,17.49781,73.328,1.02,34.839,13.554,0.0,14.47998,47.0,1,13.5,0,0,0,0,0,0,0,58.61934,92.3,41,0,7.925161,71.37255,100.0,0
15.813,5.418919,39.76407,1.490671,3.616189,306.0623,0.4868491,1831.25,2.227932,55.29412,2.50878,20.43876,96.47059,867,73.4,33.91255,2,0.01505343,0.001787179,8.423011,0.2368291,73.85,0,0,0,80.15,2764.75,80.375,95.0,64.31373,0,-1.450377,1.736308,17.49781,73.328,1.02,34.839,13.554,0.0,14.47998,47.0,1,13.5,0,0,0,0,0,0,0,58.61934,92.3,41,0,7.925161,71.37255,100.0,0
16.817,5.418919,39.76407,1.490671,3.616189,306.0623,0.4868491,1831.25,2.227932,55.29412,2.50878,20.43876,96.47059,867,73.4,33.91255,2,0.01505343,0.001787179,8.423011,0.2368291,73.85,0,0,0,80.15,2764.75,80.375,95.0,64.31373,0,-1.450377,1.736308,17.49781,73.328,1.02,34.839,13.554,0.0,14.47998,47.0,1,13.5,0,0,0,0,0,0,0,58.61934,92.3,41,0,7.925161,71.37255,100.0,0
17.818,5.505556,39.75553,4.063053,3.559283,306.1388,1.326982,3503.75,6.07257,74.5098,5.241462,55.70897,100.0,867,73.4,62.18621,2,0.03669456,0.00568805,6.451166,0.2937003,73.85,0,0,0,80.15,3708.5,80.375,87.8,64.31373,0,-0.2900755,3.1368,31.81421,73.328,-2.3,27.048,13.535,0.0,15.23926,52.5,1,13.4,0,0,0,0,0,0,0,83.50761,92.3,43,0,7.528903,74.11765,100.0,0
