,Time (sec),Latitude (deg),Longitude (deg),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp in C,Humidity,Wind Speed
0,0.0,34.25964,-118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183295.0,76.82,58.0,5.75
1,0.433,34.25961,-118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183295.433,76.82149999999999,58.0,5.75
2,1.391,34.25959,-118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183296.391,76.823,58.0,5.75
3,2.334,34.25956,-118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183297.334,76.8245,58.0,5.75
4,3.293,34.2595,-118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183298.293,76.826,58.0,5.75
5,4.358,34.25941,-118.5199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183299.358,76.82749999999999,58.0,5.75
6,5.297,34.25932,-118.5199,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183300.297,76.829,58.0,5.75
7,6.312,34.25924,-118.5199,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183301.312,76.8305,58.0,5.75
8,7.298,34.25914,-118.5198,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183302.298,76.832,58.0,5.75
9,8.298,34.25904,-118.5198,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183303.298,76.83349999999999,58.0,5.75
