Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306735.0,80.37,28.0,8.01,1010.0,79.27,0.0
1,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306735.659,80.36783333333334,28.016666666666666,8.01,1010.0166666666668,79.27,0.0
2,1.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306736.608,80.36566666666667,28.033333333333335,8.01,1010.0333333333332,79.27,0.0
3,2.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306737.564,80.3635,28.05,8.01,1010.05,79.27,0.0
4,3.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306738.501,80.36133333333333,28.066666666666663,8.01,1010.0666666666668,79.27,0.0
5,4.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306739.463,80.35916666666667,28.083333333333332,8.01,1010.0833333333334,79.27,0.0
6,5.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687306740.413,80.357,28.1,8.01,1010.1,79.27,0.0
7,6.411,166.8382,38.0421,0.0,0.1174542,0.0,0.0,1017.0,0.441882,18.82353,0.7103548,0.0,54.5098,390,84.2,0.0,4,0.0,0.0,0.0,0.0,85.19,5,1721,1707,79.7,997.5,134.375,105.8,63.52941,0,-8.557226,0.0384083,42.94918,84.272,-4.76,27.097,14.179,0.45,18.16895,70.5,1,14.0,0,0,0,0,0,0,0,1.30991,92.3,17,0,9.510193,20.0,61.96078,0,1687306741.411,80.35483333333333,28.116666666666667,8.01,1010.1166666666668,79.27,0.0
8,7.416,166.8382,38.0421,0.0,0.1174542,0.0,0.0,1017.0,0.441882,18.82353,0.7103548,0.0,54.5098,390,84.2,0.0,4,0.0,0.0,0.0,0.0,85.19,5,1721,1707,79.7,997.5,134.375,105.8,63.52941,0,-8.557226,0.0384083,42.94918,84.272,-4.76,27.097,14.179,0.45,18.16895,70.5,1,14.0,0,0,0,0,0,0,0,1.30991,92.3,17,0,9.510193,20.0,61.96078,0,1687306742.416,80.35266666666666,28.133333333333333,8.01,1010.1333333333332,79.27,0.0
9,8.411,166.8382,38.0421,0.0,0.1174542,0.0,0.0,1017.0,0.441882,18.82353,0.7103548,0.0,54.5098,390,84.2,0.0,4,0.0,0.0,0.0,0.0,85.19,5,1721,1707,79.7,997.5,134.375,105.8,63.52941,0,-8.557226,0.0384083,42.94918,84.272,-4.76,27.097,14.179,0.45,18.16895,70.5,1,14.0,0,0,0,0,0,0,0,1.30991,92.3,17,0,9.510193,20.0,61.96078,0,1687306743.411,80.3505,28.15,8.01,1010.15,79.27,0.0
10,9.413,166.8382,38.0421,0.0,0.1174542,0.0,0.0,1017.0,0.441882,18.82353,0.7103548,0.0,54.5098,390,84.2,0.0,4,0.0,0.0,0.0,0.0,85.19,5,1721,1707,79.7,997.5,134.375,105.8,63.52941,0,-8.557226,0.0384083,42.94918,84.272,-4.76,27.097,14.179,0.45,18.16895,70.5,1,14.0,0,0,0,0,0,0,0,1.30991,92.3,17,0,9.510193,20.0,61.96078,0,1687306744.413,80.34833333333333,28.166666666666668,8.01,1010.1666666666666,79.27,0.0
