# StartTime = 06/13/2023 02:50:21.5679 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Intake air temperature (°F), Mass air flow rate (lb/min), Absolute load value (%), Engine fuel rate (gal/hr), Engine Fuel Rate (lb/min), Vehicle Fuel Rate (lb/min), Cylinder Fuel Rate, Mass air flow rate (lb/min).1, Engine Power (hp), Fuel Remaining (gal), Intake Air Temp (F), Outside Air Temp (F), Calculated load value (%), Engine coolant temperature (°F), Time since engine start (sec), Fuel level input (%), Evap system vapor pressure (inH2O), Ambient air temperature (°F), Engine oil temperature (°F), Engine Exhaust Flow Rate (lb/min), Intake manifold absolute pressure (inHg), AirCon High Side Pressure (PSI), A/C Cutoff Signal, Fuel system 1 status, Fuel system 2 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Blower Motor Speed Level (Rear), Compressor Drive Check, Compressor Speed (RPM), Compressor Target Speed (RPM), Electric Fan Speed (%), Engine Coolant Temperature (°F), Humidity Level, Humidity Sensor (%), Regulator Pressure Sensor (MPa), Room Temperature Sensor (°F), This item is Engine Coolant Temperature. (°F), This item is only used to display the customized status., Air Conditioner Feedback Value (L/s), Ambient Temperature for Air Conditioner (°F), Current Air Conditioner ECU Communication Status, Engine Coolant Temperature (IN) (°F), Engine Fuel Rate (lb/min).1, Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), This item indicates the output value of the Refrigerant Outlet Temperature Sensor. (°F)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
1.599,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2.601,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
3.603,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
4.603,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
5.603,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
6.602,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
7.6,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
8.602,0.0,0.0,30.72791,0.0,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
9.602,2.485485,124.8649,30.7316,0.01990539,0.1569363,3.974645,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.0008959796,4.826026e-06,185.6558,0.1592465,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
10.602,2.485485,124.8649,30.7316,0.01990539,0.1569363,3.974645,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.0008959796,4.826026e-06,185.6558,0.1592465,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
11.602,2.485485,124.8649,30.7316,0.01990539,0.1569363,3.974645,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.0008959796,4.826026e-06,185.6558,0.1592465,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
12.604,2.485485,124.8649,30.7316,0.01990539,0.1569363,3.974645,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.0008959796,4.826026e-06,185.6558,0.1592465,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
13.596,2.485485,124.8649,30.7316,0.01990539,0.1569363,3.974645,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.0008959796,4.826026e-06,185.6558,0.1592465,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
14.605,1.864114,93.64868,30.7457,0.01990539,0.2092484,3.975517,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.00512729,4.936662e-05,103.8615,0.2294006,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
15.604,1.864114,93.64868,30.7457,0.01990539,0.2092484,3.975517,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.00512729,4.936662e-05,103.8615,0.2294006,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
16.604,1.864114,93.64868,30.7457,0.01990539,0.2092484,3.975517,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.00512729,4.936662e-05,103.8615,0.2294006,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
17.598,1.864114,93.64868,30.7457,0.01990539,0.2092484,3.975517,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.00512729,4.936662e-05,103.8615,0.2294006,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
18.599,1.864114,93.64868,30.7457,0.01990539,0.2092484,3.975517,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.00512729,4.936662e-05,103.8615,0.2294006,73.22,0,0,0,0,0,0,105.53,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
19.598,9.320568,468.2434,30.7958,0.01990539,0.04184968,3.975972,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.01600824,7.259355e-05,220.5188,0.3186865,73.22,0,0,0,0,0,0,104.9,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
20.598,9.320568,468.2434,30.7958,0.01990539,0.04184968,3.975972,0.006501046,0.0,80.6,0.027783,0.0,0,0,0,0,0.0,0.272925,0,0,0,0.0,104.0,128,0,0,73.4,0,0,0.0,0,0,1,0,0.01600824,7.259355e-05,220.5188,0.3186865,73.22,0,0,0,0,0,0,104.9,0,0,0,97.7,0,0,0,0,1,0,0,0.0,78.125,82.4,0
