# StartTime = 06/15/2023 08:50:42.0210 AM
# FuelCalculationMethod = MassAirFlow
Time (sec), Vehicle speed (MPH), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Hybrid/EV Battery System Voltage (V), Hybrid/EV Battery System Current (A), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Accelerator Opening Angle % (%), Status of the Brake Pedal Load Sensing SW / OFF or ON, Status of the Brake Warning Light / OFF or ON, Status of the TRC(TRAC) Brake Ctrl / OFF or ON, Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Status of the A/C Signal / OFF or ON, Status of the Communication with Brake / Comm or No Comm, Status of the Electric Fan Motor / OFF or ON, Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Status of the Aircon Request / No or Request, Status of the Main Battery Charging Request / No or Request, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Status of the Remote A/C Power Supply Condition/ OFF or ON
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
1.554,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
2.536,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
3.456,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
4.434,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
5.355,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
6.342,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
7.255,0.0,0.0,30.36155,0.0,0.0,0.0,0.0,0.0,0.728973,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0
8.238,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
9.151,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
10.172,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
11.138,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
12.16,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
13.139,0.0,0.0,30.35609,0.4824322,0.0,10.13087,0.157561,1296.75,0.721035,23.52941,0.9057548,6.614681,52.15686,43,68.0,0.0,2,0.0,9.305063e-05,0.0,0.1273244,68.81,0,0,0,70.7,1302.25,71.375,73.4,62.7451,0,0,0,-8.557226,0.0,0.0,0,0,0,1.59071,68.144,8.41,27.048,14.472,0,1,0,0,15.11963,0,1,0,0,14.3,0,0
14.173,3.106856,6.463705,30.31521,0.4806618,3.031672,10.14822,0.1569828,1277.25,0.718389,23.92157,0.8615581,6.590407,52.15686,43,68.0,9.70107,2,0.005714779,0.000978764,5.838771,0.2259358,68.81,0,0,0,70.7,1296.75,71.375,73.4,62.7451,0,0,0,-8.267151,0.344066,0.0,0,0,0,2.386065,68.144,3.45,27.097,14.472,0,1,0,0,15.08911,0,1,0,0,14.3,0,0
15.136,3.106856,6.463705,30.31521,0.4806618,3.031672,10.14822,0.1569828,1277.25,0.718389,23.92157,0.8615581,6.590407,52.15686,43,68.0,9.70107,2,0.005714779,0.000978764,5.838771,0.2259358,68.81,0,0,0,70.7,1296.75,71.375,73.4,62.7451,0,0,0,-8.267151,0.344066,0.0,0,0,0,2.386065,68.144,3.45,27.097,14.472,0,1,0,0,15.08911,0,1,0,0,14.3,0,0
16.171,3.106856,6.463705,30.31521,0.4806618,3.031672,10.14822,0.1569828,1277.25,0.718389,23.92157,0.8615581,6.590407,52.15686,43,68.0,9.70107,2,0.005714779,0.000978764,5.838771,0.2259358,68.81,0,0,0,70.7,1296.75,71.375,73.4,62.7451,0,0,0,-8.267151,0.344066,0.0,0,0,0,2.386065,68.144,3.45,27.097,14.472,0,1,0,0,15.08911,0,1,0,0,14.3,0,0
17.14,3.106856,6.463705,30.31521,0.4806618,3.031672,10.14822,0.1569828,1277.25,0.718389,23.92157,0.8615581,6.590407,52.15686,43,68.0,9.70107,2,0.005714779,0.000978764,5.838771,0.2259358,68.81,0,0,0,70.7,1296.75,71.375,73.4,62.7451,0,0,0,-8.267151,0.344066,0.0,0,0,0,2.386065,68.144,3.45,27.097,14.472,0,1,0,0,15.08911,0,1,0,0,14.3,0,0
