# StartTime = 06/16/2023 08:49:22.3356 AM
# FuelCalculationMethod = MassAirFlow
Time (sec), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Hybrid/EV Battery System Voltage (V), Hybrid/EV Battery System Current (A), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Accelerator Opening Angle % (%), Status of the Brake Pedal Load Sensing SW / OFF or ON, Status of the Brake Warning Light / OFF or ON, Status of the TRC(TRAC) Brake Ctrl / OFF or ON, Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Status of the A/C Signal / OFF or ON, Status of the Electric Fan Motor / OFF or ON, Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Status of the Aircon Request / No or Request, Status of the Main Battery Charging Request / No or Request, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Status of the Remote A/C Power Supply Condition/ OFF or ON
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
1.879,0.0,30.7997,0.0,0.0,0.0,0.0,0.0,0.783216,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
2.893,0.0,30.7997,0.0,0.0,0.0,0.0,0.0,0.783216,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
3.862,0.0,30.7997,0.0,0.0,0.0,0.0,0.0,0.783216,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
4.887,0.0,30.79848,0.5056888,0.0,16.89844,0.1651566,1308.5,0.773955,25.09804,0.9362537,6.933556,54.90196,18,69.8,0.0,2,0.0,3.430239e-05,0.0,0.07485776,70.7,0,0,0,72.95,1327.25,77,77.0,62.7451,0,0,0,-8.412189,0.0,16.5,0,0,0,1.59071,70.448,-2.12,27.146,14.472,0,0,0,15.65918,0,1,0,0,14.4,0,0
5.864,0.0,30.79848,0.5056888,0.0,16.89844,0.1651566,1308.5,0.773955,25.09804,0.9362537,6.933556,54.90196,18,69.8,0.0,2,0.0,3.430239e-05,0.0,0.07485776,70.7,0,0,0,72.95,1327.25,77,77.0,62.7451,0,0,0,-8.412189,0.0,16.5,0,0,0,1.59071,70.448,-2.12,27.146,14.472,0,0,0,15.65918,0,1,0,0,14.4,0,0
6.903,0.0,30.79848,0.5056888,0.0,16.89844,0.1651566,1308.5,0.773955,25.09804,0.9362537,6.933556,54.90196,18,69.8,0.0,2,0.0,3.430239e-05,0.0,0.07485776,70.7,0,0,0,72.95,1327.25,77,77.0,62.7451,0,0,0,-8.412189,0.0,16.5,0,0,0,1.59071,70.448,-2.12,27.146,14.472,0,0,0,15.65918,0,1,0,0,14.4,0,0
7.863,0.0,30.79848,0.5056888,0.0,16.89844,0.1651566,1308.5,0.773955,25.09804,0.9362537,6.933556,54.90196,18,69.8,0.0,2,0.0,3.430239e-05,0.0,0.07485776,70.7,0,0,0,72.95,1327.25,77,77.0,62.7451,0,0,0,-8.412189,0.0,16.5,0,0,0,1.59071,70.448,-2.12,27.146,14.472,0,0,0,15.65918,0,1,0,0,14.4,0,0
8.897,0.0,30.79848,0.5056888,0.0,16.89844,0.1651566,1308.5,0.773955,25.09804,0.9362537,6.933556,54.90196,18,69.8,0.0,2,0.0,3.430239e-05,0.0,0.07485776,70.7,0,0,0,72.95,1327.25,77,77.0,62.7451,0,0,0,-8.412189,0.0,16.5,0,0,0,1.59071,70.448,-2.12,27.146,14.472,0,0,0,15.65918,0,1,0,0,14.4,0,0
9.876,0.0,30.77017,0.6413459,0.0,16.91399,0.2094618,1299.0,0.981666,31.76471,1.08794,8.793565,63.13726,18,69.8,13.22602,2,0.0,0.000827787,0.0,0.1523057,70.7,0,0,0,72.95,1299.0,77,77.0,62.7451,0,0,0,-6.816774,0.0,0.0,0,0,0,0.7953551,70.448,2.16,27.048,14.492,0,0,0,15.72998,0,1,0,0,14.4,0,0
