Datetime,Timestamp,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
2023-06-20 13:48:00-07:00,1687294101.568,18.568,2.885,38.529,0.358,1.152,63.881,0.117,1296.412,0.824,26.967,0.957,4.908,56.355,11.0,86.0,7.728,2.0,0.003,0.001,1.271,0.215,85.82,13.0,3965.824,3891.471,109.347,1317.162,93.875,91.4,65.882,-7.815,0.122,2.105,85.424,4.655,27.088,14.464,1.335,14.952,0.0,1.0,14.3,19.844,92.3,43.0,11.515,26.874,56.701,81.855,42.0,12.66,1010.0,81.565,0.0
2023-06-20 13:48:30-07:00,1687294125.315,42.315,23.571,38.516,0.595,0.853,90.539,0.194,1289.067,0.883,28.444,0.991,8.164,58.379,11.0,86.0,12.434,2.0,0.042,0.004,10.766,0.569,86.093,15.567,3869.333,3880.867,108.095,1326.067,93.875,91.4,65.882,-7.363,1.187,15.059,85.424,2.479,27.141,14.444,1.28,14.244,0.0,1.0,14.3,33.266,92.3,43.0,11.624,25.464,53.686,81.847,42.0,12.66,1010.0,81.557,0.0
2023-06-20 13:49:00-07:00,1687294155.318,72.318,59.2,38.517,0.463,0.545,90.552,0.151,1068.192,0.795,21.673,0.86,6.349,42.484,11.0,85.22,3.774,1.767,0.077,0.004,16.616,0.915,85.253,28.667,3583.567,4605.5,106.145,1346.85,93.875,92.6,65.882,-5.753,0.206,16.809,84.387,0.51,27.069,14.468,1.705,15.343,0.0,1.0,14.3,16.495,92.3,42.767,11.624,26.667,65.346,81.784,42.0,12.66,1010.833,81.504,0.0
2023-06-20 13:49:30-07:00,1687294185.32,102.32,58.218,38.5,0.758,0.843,90.667,0.248,1440.825,1.131,25.582,1.249,10.392,54.627,86.6,84.2,16.376,2.0,0.224,0.01,21.402,1.648,85.19,31.0,7264.433,7578.433,101.75,1793.333,93.875,93.62,60.758,-7.455,0.201,23.012,84.253,-0.018,27.048,14.467,2.938,15.771,28.367,1.0,14.3,32.679,92.3,43.233,11.624,41.778,53.399,81.616,42.0,12.66,1013.292,81.366,0.0
2023-06-20 13:50:00-07:00,1687294214.931,131.931,27.819,38.497,0.362,0.512,90.741,0.118,795.528,0.449,16.834,0.616,4.966,36.703,92.0,84.2,7.109,1.704,0.352,0.014,24.911,2.089,84.677,31.0,6683.519,5826.667,96.967,590.093,93.875,95.2,60.392,-5.528,-1.309,5.126,83.696,-0.201,27.073,14.489,2.178,15.646,38.852,1.0,14.3,17.353,92.3,43.741,11.624,12.273,24.038,81.5,42.285,12.66,1014.811,81.3,0.0
2023-06-20 13:50:30-07:00,1687294244.749,161.749,3.453,38.488,0.213,1.228,90.771,0.07,497.696,0.29,7.689,0.339,2.926,22.647,125.429,84.2,1.324,1.75,0.37,0.016,23.603,2.636,84.852,31.0,4203.679,5378.643,95.996,275.562,93.875,96.35,60.392,-3.869,-0.095,1.79,83.696,0.731,27.048,14.496,1.963,14.989,38.554,1.0,14.3,13.029,92.3,44.536,11.624,3.922,9.412,81.488,43.183,12.66,1014.408,81.382,0.0
2023-06-20 13:51:00-07:00,1687294279.758,196.758,0.0,38.482,0.019,0.0,90.788,0.006,0.0,0.028,0.0,0.0,0.264,0.0,164.0,84.2,0.0,1.0,0.375,0.017,22.69,3.22,86.292,22.875,4796.875,4795.375,93.819,0.0,93.875,98.375,60.392,-0.145,-0.023,0.0,83.696,5.111,27.06,14.509,1.719,14.612,38.688,1.0,14.3,0.0,92.3,44.0,11.624,0.0,0.0,81.482,43.885,12.66,1014.057,81.45,0.0
2023-06-20 13:51:30-07:00,1687294305.135,222.135,67.935,38.48,0.223,0.434,90.812,0.073,655.526,0.326,12.563,0.405,3.053,29.371,183.862,84.2,2.496,1.621,0.416,0.018,23.367,3.649,86.602,18.0,4623.207,4555.0,92.859,676.879,93.875,97.917,58.323,-5.451,0.272,7.186,83.696,0.624,27.048,14.457,1.574,14.866,39.879,1.0,14.3,14.543,92.3,44.0,11.56,11.332,61.65,81.5,44.0,12.66,1014.0,81.48,0.0
2023-06-20 13:52:00-07:00,1687294335.32,252.32,0.0,38.478,0.022,0.0,90.829,0.007,0.0,0.028,0.0,0.0,0.304,0.0,228.0,84.2,0.062,1.0,0.437,0.019,23.479,4.152,86.45,18.0,4421.033,4428.333,91.445,0.0,93.875,100.4,53.725,-0.145,-0.224,0.0,83.696,-0.034,27.048,14.505,1.603,14.511,38.65,1.0,14.3,0.0,92.3,44.0,11.624,0.0,0.0,81.529,44.0,12.66,1014.0,81.509,0.0
2023-06-20 13:52:30-07:00,1687294365.323,282.323,18.583,38.471,0.53,0.618,90.861,0.173,887.467,0.754,22.471,0.938,7.266,47.595,244.267,84.2,12.067,2.5,0.47,0.02,23.215,4.651,86.45,18.0,4669.367,4703.8,90.83,1223.692,93.875,99.62,50.17,-3.23,1.119,13.309,83.696,0.315,27.063,14.462,1.627,14.921,41.85,1.0,14.3,26.375,92.3,44.0,11.624,28.248,43.085,81.521,44.0,12.66,1014.0,81.5,0.0
2023-06-20 13:53:00-07:00,1687294395.316,312.316,58.616,38.455,0.543,0.661,90.966,0.177,1303.675,0.812,22.667,1.079,7.449,50.013,289.0,84.2,13.264,2.0,0.601,0.026,23.429,5.146,86.261,18.0,4858.933,4788.8,89.555,1532.358,93.875,99.14,40.392,-7.885,-0.13,16.968,83.696,0.075,27.104,14.459,1.615,16.127,42.317,1.0,14.3,25.092,92.3,43.667,11.624,30.405,52.941,81.491,44.0,12.66,1014.0,81.471,0.0
2023-06-20 13:53:30-07:00,1687294426.242,343.242,2.476,38.457,0.042,0.04,90.998,0.014,68.411,0.062,1.008,0.033,0.58,2.745,289.0,84.2,0.714,1.071,0.673,0.027,24.697,5.663,85.82,18.0,4488.357,4456.393,89.054,377.125,93.875,103.357,40.392,-0.839,-0.882,1.591,83.696,0.085,27.069,14.481,1.582,15.289,39.375,1.0,14.3,1.155,92.3,43.25,11.624,12.465,25.042,81.48,44.0,12.66,1014.0,81.46,0.0
2023-06-20 13:54:00-07:00,1687294455.318,372.318,56.213,38.435,0.716,1.452,91.08,0.234,983.508,1.051,22.954,1.183,9.82,46.196,356.0,84.2,2.379,1.6,0.732,0.031,23.274,6.156,86.45,18.0,4440.567,4443.367,90.05,935.65,93.875,102.92,41.176,-2.156,0.322,8.802,83.696,8.246,27.881,14.47,1.56,15.715,41.3,1.0,14.3,28.514,92.3,43.833,11.624,14.837,35.556,81.481,43.998,12.66,1014.002,81.46,0.0
2023-06-20 13:54:30-07:00,1687294483.822,400.822,264.368,38.413,0.7,1.018,91.183,0.229,991.972,1.04,21.888,1.282,9.594,58.199,356.0,84.2,8.465,1.37,0.828,0.037,22.577,6.622,86.45,18.0,4703.815,4717.148,89.3,570.648,93.875,104.0,41.176,-3.39,0.532,12.608,84.059,-0.201,27.061,14.495,1.533,15.338,43.926,1.0,14.3,22.869,92.3,43.0,11.624,6.187,33.246,81.592,43.733,12.66,1014.267,81.529,0.0
2023-06-20 13:55:00-07:00,1687294522.748,439.749,0.0,38.416,0.019,0.0,91.194,0.006,0.0,0.028,0.0,0.0,0.261,0.0,422.0,84.2,0.0,1.0,0.87,0.037,23.32,7.28,85.82,18.0,4326.714,4306.071,88.089,0.0,93.875,106.443,41.961,-0.145,-0.0,0.0,84.272,0.411,27.065,14.497,1.464,15.052,38.5,1.0,14.3,0.0,92.3,42.0,11.624,0.0,0.0,81.736,43.392,12.66,1014.608,81.618,0.0
