Datetime,Timestamp,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
2023-06-20 13:45:00-07:00,1687294146.778,63.778,39.988,38.514,0.566,0.811,86.343,0.185,1270.855,0.918,25.509,1.021,7.763,52.549,32.196,85.277,10.363,1.935,0.097,0.005,13.88,0.912,85.561,23.159,4756.439,5122.421,105.968,1461.488,93.875,92.359,64.446,-7.009,0.467,15.721,84.805,1.572,27.086,14.46,1.873,15.093,7.953,1.0,14.3,26.267,92.3,43.0,11.606,30.599,57.354,81.766,42.0,12.66,1011.157,81.49,0.0
2023-06-20 13:50:00-07:00,1687294354.609,271.609,51.009,38.465,0.353,0.623,90.908,0.115,648.594,0.507,13.44,0.616,4.834,30.688,236.996,84.2,5.029,1.593,0.532,0.023,23.553,4.466,86.035,20.884,4775.836,4799.324,91.858,654.53,93.875,99.804,50.13,-3.402,-0.03,7.106,83.732,1.345,27.153,14.481,1.69,15.227,40.422,1.0,14.3,15.652,92.3,43.8,11.617,12.693,29.988,81.507,43.715,12.66,1014.151,81.456,0.0
2023-06-20 13:55:00-07:00,1687294658.559,575.559,65.822,38.308,0.629,0.628,91.682,0.205,1172.063,1.07,21.455,1.345,8.624,42.438,538.859,83.979,12.108,1.639,1.315,0.062,21.169,9.534,84.81,18.0,4044.913,4040.105,85.537,1149.103,93.875,104.624,45.087,-3.302,-0.11,16.786,83.933,0.101,27.058,14.46,1.315,16.457,46.462,1.0,14.287,21.402,92.3,41.014,11.606,22.568,44.172,81.847,43.592,12.66,1011.401,81.747,0.0
2023-06-20 14:00:00-07:00,1687294911.266,828.266,187.643,38.199,0.629,0.601,92.617,0.205,845.783,0.913,15.568,1.093,8.622,31.279,786.339,82.4,4.664,1.468,2.631,0.11,23.922,13.698,82.621,18.0,3199.555,3469.541,81.459,895.976,93.875,104.76,56.499,-1.317,-0.247,16.199,81.844,0.861,27.063,14.401,1.067,17.097,54.167,1.0,14.218,16.709,92.3,41.826,9.433,17.325,26.498,81.577,43.109,12.66,1003.602,81.452,0.0
2023-06-20 14:30:00-07:00,1687296892.434,15.434,637.556,37.873,0.413,0.43,94.702,0.135,810.062,0.619,11.667,0.796,5.661,28.725,414.0,80.6,0.204,2.0,0.051,0.001,1278.414,0.224,80.938,18.0,3379.25,3670.0,83.862,542.75,128.75,107.6,62.745,-3.408,-0.5,20.679,80.384,-0.292,27.06,14.453,0.85,17.104,67.75,1.0,14.3,14.148,95.0,45.75,11.624,15.196,39.412,81.453,42.0,12.66,1003.0,81.215,0.0
2023-06-20 14:35:00-07:00,1687297022.793,85.892,148.672,37.869,0.389,0.326,92.928,0.127,398.59,0.506,7.583,0.529,5.336,13.852,379.733,80.6,1.281,1.213,0.175,0.005,47.297,1.315,83.406,18.0,3779.792,3822.233,83.492,543.764,126.79,112.955,62.988,-0.356,0.15,7.623,80.816,-2.679,27.233,14.446,1.269,16.248,48.139,1.0,14.285,12.423,95.0,47.163,11.584,10.612,18.202,81.423,42.0,12.66,1003.0,81.204,0.0
2023-06-20 14:40:00-07:00,1687297320.003,168.003,301.618,37.877,0.512,0.429,95.404,0.167,746.867,0.759,16.489,0.884,7.027,34.948,129.561,81.406,6.801,1.766,1.166,0.03,39.526,2.721,84.212,18.0,3903.506,3969.715,83.099,715.495,119.75,111.102,61.815,-2.232,-0.379,20.802,81.553,0.203,27.132,14.432,1.246,16.578,59.588,1.0,14.282,18.866,95.0,43.197,9.706,16.663,32.04,81.586,42.0,12.66,1002.247,81.335,0.0
2023-06-20 14:50:00-07:00,1687298075.565,30.565,56.092,37.763,1.304,1.271,96.167,0.426,1706.923,1.919,34.254,2.388,17.883,66.675,168.694,82.4,13.67,1.898,0.092,0.007,74.795,0.477,83.133,13.0,2456.551,2680.061,83.75,1663.454,127.625,110.98,61.769,-0.998,0.886,21.556,81.968,0.023,27.052,14.394,0.852,16.118,63.449,1.0,14.233,39.257,92.3,43.51,11.591,34.19,68.78,81.066,43.0,12.66,1002.0,81.008,0.0
2023-06-20 14:55:00-07:00,1687298249.041,204.041,318.691,37.623,0.919,0.591,97.284,0.3,1282.308,1.361,23.749,1.701,12.604,48.59,339.774,82.321,12.742,1.667,1.545,0.064,22.956,3.371,83.003,13.0,3009.906,3046.168,82.706,1288.598,127.625,111.158,63.246,-1.87,-0.142,26.673,82.185,0.004,27.061,14.406,0.922,16.684,65.254,1.0,14.221,27.459,92.3,44.572,11.546,24.297,49.632,80.841,43.0,10.785,1002.079,80.829,2.515
2023-06-20 15:00:00-07:00,1687298549.88,504.88,164.743,37.45,1.368,0.916,98.721,0.447,1730.805,2.009,29.316,2.33,18.759,55.956,637.336,82.062,13.185,1.846,3.432,0.138,25.122,8.387,83.192,9.201,2606.862,2629.124,81.449,1653.154,127.625,112.372,65.805,-1.473,0.28,26.316,82.078,0.119,27.139,14.387,0.775,16.586,65.414,1.0,14.201,33.819,92.3,49.534,11.546,28.908,55.336,80.526,43.0,6.026,1002.801,80.512,5.839
2023-06-20 15:05:00-07:00,1687298850.054,805.055,320.767,37.298,1.139,0.452,100.792,0.372,1772.67,1.7,27.51,2.142,15.62,56.664,932.793,80.96,12.084,1.847,6.612,0.243,27.045,13.389,81.885,9.0,2380.747,2384.323,80.588,1732.878,127.625,108.788,68.69,-3.6,0.039,49.76,81.25,0.029,27.059,14.36,0.662,16.128,69.463,1.0,14.201,31.269,92.3,43.09,11.461,26.55,56.294,80.456,42.328,3.952,1008.784,80.426,7.94
2023-06-20 15:10:00-07:00,1687299150.043,1105.043,69.454,37.435,1.554,0.453,103.099,0.507,2360.228,2.319,39.475,3.066,21.304,81.505,1225.083,82.4,17.94,2.047,11.723,0.361,32.343,18.385,83.208,9.0,2238.343,2237.79,79.37,2375.711,127.625,98.372,61.587,-2.55,-0.023,67.571,82.46,-0.131,27.058,14.325,0.58,15.551,70.5,1.0,14.199,44.904,92.3,40.017,11.344,39.609,81.31,81.047,42.219,3.555,1014.076,80.917,9.0
2023-06-20 15:15:00-07:00,1687299449.98,1404.98,36.969,37.192,2.494,0.756,106.646,0.815,3302.573,3.719,46.357,4.523,34.2,87.205,1522.43,81.482,20.479,2.0,17.173,0.542,31.744,23.387,82.395,9.0,2144.92,2144.597,78.224,3281.198,127.625,97.172,60.374,-1.416,0.006,65.28,81.718,-0.024,27.063,14.308,0.555,15.633,70.5,1.0,14.19,52.89,92.3,40.82,11.023,46.069,87.06,77.895,44.043,6.858,1014.998,77.604,9.0
2023-06-20 15:20:00-07:00,1687299749.973,1704.973,167.974,36.728,2.249,0.714,110.832,0.734,2990.372,3.337,40.098,3.952,30.833,79.017,1819.08,79.016,18.796,1.97,22.495,0.756,29.796,28.389,79.547,9.0,2056.237,2056.933,77.972,3013.452,127.625,98.852,60.437,-1.733,-0.079,57.61,78.777,-0.251,27.063,14.193,0.53,16.179,70.21,1.0,14.073,45.887,92.3,41.683,10.975,40.711,78.269,74.828,23.974,7.782,1014.728,73.136,9.54
2023-06-20 15:25:00-07:00,1687300049.964,2004.964,474.63,36.811,0.373,0.274,112.577,0.122,660.292,0.546,14.136,0.723,5.109,36.366,2114.213,78.302,5.693,1.88,26.251,0.845,31.063,33.388,79.682,9.0,2044.273,2059.04,77.855,621.061,127.625,109.412,74.153,-2.312,-0.152,27.867,78.788,-0.126,27.062,14.011,0.588,16.975,61.278,1.0,13.865,16.456,92.3,41.067,11.261,11.817,32.166,76.309,23.076,10.143,1014.798,74.727,10.3
2023-06-20 15:30:00-07:00,1687300349.852,2304.852,473.979,36.908,0.56,0.332,113.336,0.183,921.233,0.829,18.143,1.051,7.678,43.499,2409.672,79.041,7.753,1.813,28.239,0.884,31.951,38.386,80.274,9.0,2044.565,2053.813,77.254,905.584,127.625,110.032,66.104,-2.229,0.068,29.33,79.406,0.056,27.062,14.212,0.594,15.323,67.425,1.0,14.036,20.989,92.3,40.184,10.743,17.938,48.033,75.216,24.14,11.703,1014.002,73.573,1.0
2023-06-20 15:35:00-07:00,1687300649.971,2604.971,139.91,36.917,1.611,0.559,115.086,0.526,2372.366,2.403,38.127,3.111,22.082,81.707,2704.867,78.8,16.394,1.97,31.586,0.973,32.461,43.388,79.606,9.0,1980.75,1979.507,77.549,2382.322,127.625,99.482,58.213,-1.349,0.206,57.191,78.944,0.237,27.059,14.262,0.519,15.266,70.405,1.0,14.1,43.557,92.3,44.32,10.672,37.95,80.625,75.6,28.082,8.014,1014.354,74.181,1.933
2023-06-20 15:40:00-07:00,1687300949.966,2904.966,206.035,37.205,0.629,0.29,116.881,0.205,1176.158,0.936,23.932,1.264,8.619,59.425,2999.91,79.856,10.411,2.347,36.687,1.065,34.451,48.388,80.662,9.0,1898.327,1905.37,78.441,1152.607,127.625,97.436,61.294,-3.694,-0.324,48.026,80.023,-0.052,27.064,14.225,0.495,16.599,66.515,1.0,14.058,27.324,92.3,51.887,10.75,23.647,58.625,79.002,22.708,12.191,1019.656,78.514,1.6
